Result Date,E. coli - counts Flag,E. coli - counts,E. coli - MPN Flag,E. coli - MPN MPN/100ml,Enterococcus  Flag,Enterococcus  MPN/100ml,Station
2023-06-03 00:00,,,,10,,10,64245
2023-06-02 00:00,,,<,10,<,10,64245
2023-06-01 00:00,,,<,10,<,10,64245
2023-05-31 00:00,,,,10,,10,64245
2023-05-30 00:00,,,<,10,<,10,64245
2023-05-29 00:00,,,<,10,<,10,64245
2023-05-28 00:00,,,<,10,<,10,64245
2023-05-27 00:00,,,,10,<,10,64245
2023-05-26 00:00,,,<,10,,20,64245
2023-05-25 00:00,,,<,10,<,10,64245
2023-05-24 00:00,,,<,10,<,10,64245
2023-05-23 00:00,,,<,10,<,10,64245
2023-05-22 00:00,,,<,10,<,10,64245
2023-05-21 00:00,,,<,10,<,10,64245
2023-05-20 00:00,,,<,10,<,10,64245
2023-05-19 00:00,,,<,10,<,10,64245
2023-05-18 00:00,,,<,10,<,10,64245
2023-05-17 00:00,,,<,10,<,10,64245
2022-09-22 00:00,,,,,,,64245
2022-09-21 00:00,,,,121,,160,64245
2022-09-20 00:00,,,,10,,10,64245
2022-09-19 00:00,,,,10,<,10,64245
2022-09-18 00:00,,,,75,,10,64245
2022-09-17 00:00,,,,63,,10,64245
2022-09-16 00:00,,,,109,,10,64245
2022-09-15 00:00,,,,20,,31,64245
2022-09-14 00:00,,,,10,<,10,64245
2022-09-13 00:00,,,,63,,20,64245
2022-09-12 00:00,,,,52,,10,64245
2022-09-11 00:00,,,,10,<,10,64245
2022-09-10 00:00,,,,175,<,10,64245
2022-09-09 00:00,,,,75,<,10,64245
2022-09-08 00:00,,,,52,<,10,64245
2022-09-07 00:00,,,,31,<,10,64245
2022-09-06 00:00,,,,432,,20,64245
2022-09-05 00:00,,,,156,,10,64245
2022-09-04 00:00,,,<,10,<,10,64245
2022-09-03 00:00,,,,63,,10,64245
2022-09-02 00:00,,,,85,<,10,64245
2022-09-01 00:00,,,,86,,10,64245
2022-08-31 00:00,,,<,10,<,10,64245
2022-08-30 00:00,,,,84,,10,64245
2022-08-29 00:00,,,,20,<,10,64245
2022-08-28 00:00,,,,63,<,10,64245
2022-08-27 00:00,,,,960,,132,64245
2022-08-26 00:00,,,,189,,10,64245
2022-08-25 00:00,,,,63,,10,64245
2022-08-24 00:00,,,,1014,,341,64245
2022-08-23 00:00,,,,109,<,10,64245
2022-08-22 00:00,,,,63,<,10,64245
2022-08-21 00:00,,,,85,,10,64245
2022-08-20 00:00,,,,63,<,10,64245
2022-08-19 00:00,,,,41,,10,64245
2022-08-18 00:00,,,,63,<,10,64245
2022-08-17 00:00,,,,294,<,10,64245
2022-08-16 00:00,,,,110,,31,64245
2022-08-15 00:00,,,,269,,262,64245
2022-08-14 00:00,,,,161,<,10,64245
2022-08-13 00:00,,,,203,,10,64245
2022-08-12 00:00,,,,63,<,10,64245
2022-08-11 00:00,,,,31,<,10,64245
2022-08-10 00:00,,,,160,,62,64245
2022-08-09 00:00,,,,175,,75,64245
2022-08-08 00:00,,,,63,,41,64245
2022-08-07 00:00,,,,160,,63,64245
2022-08-06 00:00,,,,63,,20,64245
2022-08-05 00:00,,,<,10,<,10,64245
2022-08-04 00:00,,,,10,<,10,64245
2022-08-03 00:00,,,<,10,<,10,64245
2022-08-02 00:00,,,,31,,10,64245
2022-08-01 00:00,,,,20,<,10,64245
2022-07-31 00:00,,,,231,<,10,64245
2022-07-30 00:00,,,<,10,,10,64245
2022-07-29 00:00,,,,10,<,10,64245
2022-07-28 00:00,,,,75,,20,64245
2022-07-27 00:00,,,,20,<,10,64245
2022-07-26 00:00,,,,74,,20,64245
2022-07-25 00:00,,,<,10,<,10,64245
2022-07-24 00:00,,,,10,<,10,64245
2022-07-23 00:00,,,<,10,<,10,64245
2022-07-22 00:00,,,<,10,<,10,64245
2022-07-21 00:00,,,,10,<,10,64245
2022-07-20 00:00,,,,389,,109,64245
2022-07-19 00:00,,,<,10,,10,64245
2022-07-18 00:00,,,,110,,41,64245
2022-07-17 00:00,,,,10,<,10,64245
2022-07-16 00:00,,,,10,,10,64245
